soc,route_code,driver,timestamp_data_utc,elv_spy,speed,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,altitude,start_timestamp,end_timestamp,capacity,ref_consumption,Frontal_Wind,value_counts,total_time,distance
84,20230420_NISSAN_EIBAR_BILBAO_050,d3,20/04/2023 11:02,161.75,114.20833333333333,23.0,99.25,-322.9166666666667,13370.0,3.0,89.66666666666667,1.8041666666666665,7700.666666666667,162.40790333333334,48:07.7,32:43.5,62000.0,174.0,-15.16874802014186,12,102.85714285714286,3.263095238095238
84,20230420_NISSAN_EIBAR_DONOSTIA_054,d4,20/04/2023 14:27,142.73684210526315,89.97368421052632,21.526313894736845,99.24,-414.0,8002.105263157895,3.0,87.63157894736842,1.1273684210526316,6049.684210526316,143.52150005263158,19:34.5,05:18.0,62000.0,174.0,5.131427336383037,19,162.85714285714286,4.070238095238095
84,20230420_NISSAN_TOLOSA_ZARAUTZ_043,d3,20/04/2023 07:44,202.28571428571428,97.75714285714285,14.785713857142857,99.25,-1108.0,23045.714285714286,3.0,87.0,3.174285714285714,6589.285714285715,200.94407142857145,24:28.4,53:40.9,62000.0,174.0,-3.0771381550573302,7,60.0,1.6292857142857142
85,20230418_NISSAN_ANDOAIN_AZPEITIA_015,d1,18/04/2023 11:39,121.70588235294117,96.10000000000001,18.85294035294118,99.27,-687.2941176470588,9576.470588235294,2.0,86.76470588235294,1.1247058823529412,6520.058823529412,117.55643623529411,33:01.3,13:56.6,62000.0,174.0,6.0364623107942865,17,145.71428571428572,3.8897619047619054
85,20230418_NISSAN_AZPEITIA_DONOSTIA_016,d2,18/04/2023 13:37,105.13636363636364,57.070454545454545,17.125,99.27,-245.52272727272728,4430.0,2.0,85.9090909090909,0.9788636363636364,3893.318181818182,105.77649906818182,30:53.2,11:06.0,62000.0,174.0,-9.996536852323054,44,377.1428571428571,5.978809523809523
85,20230419_NISSAN_ANDOAIN_AZPEITIA_031,d3,19/04/2023 11:08,96.41176470588235,76.58823529411765,23.61764811764706,99.26,-738.0588235294117,8322.35294117647,3.0,91.29411764705883,1.8741176470588234,5154.941176470588,96.68148717647058,06:14.2,50:07.4,62000.0,174.0,6.620421179990295,17,145.71428571428572,3.1000000000000005
85,20230419_NISSAN_AZPEITIA_DONOSTIA_032,d3,19/04/2023 12:48,134.23529411764707,28.341176470588238,26.32352917647059,99.26,-28.705882352941178,3127.0588235294117,3.0,91.23529411764706,0.6882352941176472,1931.9411764705883,134.7517117647059,48:13.9,26:13.9,62000.0,174.0,-0.8347742976863677,17,145.71428571428572,1.1471428571428572
85,20230419_NISSAN_TOLOSA_ZARAUTZ_023,d4,19/04/2023 08:04,190.14285714285714,100.5,14.357142142857143,99.26,-996.0,20782.85714285714,3.0,85.71428571428571,2.882857142857143,6775.428571428572,190.08522142857143,45:35.1,17:20.6,62000.0,174.0,2.3750697813399846,7,60.0,1.675
85,20230420_NISSAN_EIBAR_BILBAO_050,d3,20/04/2023 10:58,175.54545454545453,105.45454545454545,23.045454727272727,99.25,-304.6363636363636,13621.818181818182,3.0,86.81818181818181,1.489090909090909,7054.181818181818,176.15775,48:07.7,32:43.5,62000.0,174.0,-16.68112947315918,11,94.28571428571428,2.7619047619047614
85,20230420_NISSAN_EIBAR_DONOSTIA_054,d4,20/04/2023 14:20,194.35555555555555,51.03999999999999,22.911111155555556,99.24000000000001,-156.9111111111111,5077.333333333333,3.1777777777777776,84.4888888888889,1.2304444444444445,3349.177777777778,194.8209971111111,19:34.5,05:18.0,62000.0,174.0,6.235392405369133,45,385.7142857142857,5.468571428571428
